# Cerebellar parcellation labels
ID	LabelName           	R	G	B	A
0	Unknown             	0	0	0	0
1	Left_I_IV           	70	130	180	0
2	Right_I_IV          	130	180	70	0
3	Left_V              	205	62	78	0
4	Right_V             	80	120	134	0
5	Left_VI             	196	58	250	0
6	Vermis_VI           	0	148	0	0
7	Right_VI            	220	248	164	0
8	Left_CrusI          	230	148	34	0
9	Right_CrusI         	118	0	100	0
10	Left_CrusII         	122	200	120	0
11	Right_CrusII        	48	255	0	0
12	Left_VIIb           	204	182	142	0
13	Right_VIIb          	119	159	176	0
14	Vermis_VII          	42	204	164	0
15	Left_VIIIa          	220	216	20	0
16	Right_VIIIa         	80	196	98	0
17	Left_VIIIb          	60	58	210	0
18	Right_VIIIb         	120	60	110	0
19	Vermis_VIII         	103	255	255	0
20	Left_IX             	110	120	60	0
21	Vermis_IX           	225	60	160	0
22	Right_IX            	255	165	0	0
23	Left_X              	165	255	0	0
24	Vermis_X            	0	255	127	0
25	Right_X             	165	42	42	0
26	Left_Corpus_Medullare	229	229	229	0
27	Right_Corpus_Medullare	229	229	229	0
